01-OpHi,01-OpLo,01-OpCl,01-Vol,02-OpHi,02-OpLo,02-OpCl,02-Vol,03-OpHi,03-OpLo,03-OpCl,03-Vol,04-OpHi,04-OpLo,04-OpCl,04-Vol,05-OpHi,05-OpLo,05-OpCl,05-Vol,06-OpHi,06-OpLo,06-OpCl,06-Vol,07-OpHi,07-OpLo,07-OpCl,07-Vol,08-OpHi,08-OpLo,08-OpCl,08-Vol,09-OpHi,09-OpLo,09-OpCl,09-Vol,10-OpHi,10-OpLo,10-OpCl,10-Vol,11-OpHi,11-OpLo,11-OpCl,11-Vol,12-OpHi,12-OpLo,12-OpCl,12-Vol,13-OpHi,13-OpLo,13-OpCl,13-Vol,14-OpHi,14-OpLo,14-OpCl,14-Vol,15-OpHi,15-OpLo,15-OpCl,15-Vol,StdSlpSMA13,StdSlpSMA55,Max13m,Min13m
1.000000,0.328886,0.537217,0.212542,1.000000,0.000000,0.310392,0.078237,1.000000,0.138597,0.405978,0.089432,0.871511,0.049056,0.248726,0.982087,0.750604,0.000000,0.177480,0.188813,1.000000,0.097492,0.310392,0.610323,0.873675,0.000000,0.243069,0.428500,1.000000,0.108074,0.384928,0.083513,1.000000,0.153387,0.317222,0.095566,0.961554,0.221633,0.462942,0.438363,1.000000,0.000000,0.310392,0.315415,0.961554,0.000000,0.289902,0.184938,0.871820,0.000000,0.248904,0.334124,1.000000,0.089236,0.371936,0.799325,1.000000,0.000443,0.310697,0.490680,0.599755,0.640811,0.000000,0.821246
0.625193,0.008703,0.110644,0.160059,1.000000,0.328886,0.537217,0.212542,1.000000,0.000000,0.310392,0.078237,1.000000,0.138597,0.405978,0.089432,0.871511,0.049056,0.248726,0.982087,0.750604,0.000000,0.177480,0.188813,1.000000,0.097492,0.310392,0.610323,0.873675,0.000000,0.243069,0.428500,1.000000,0.108074,0.384928,0.083513,1.000000,0.153387,0.317222,0.095566,0.961554,0.221633,0.462942,0.438363,1.000000,0.000000,0.310392,0.315415,0.961554,0.000000,0.289902,0.184938,0.871820,0.000000,0.248904,0.334124,1.000000,0.089236,0.371936,0.799325,0.653604,0.762379,0.171279,0.958419
0.826902,0.000000,0.309322,0.223060,0.625193,0.008703,0.110644,0.160059,1.000000,0.328886,0.537217,0.212542,1.000000,0.000000,0.310392,0.078237,1.000000,0.138597,0.405978,0.089432,0.871511,0.049056,0.248726,0.982087,0.750604,0.000000,0.177480,0.188813,1.000000,0.097492,0.310392,0.610323,0.873675,0.000000,0.243069,0.428500,1.000000,0.108074,0.384928,0.083513,1.000000,0.153387,0.317222,0.095566,0.961554,0.221633,0.462942,0.438363,1.000000,0.000000,0.310392,0.315415,0.961554,0.000000,0.289902,0.184938,0.871820,0.000000,0.248904,0.334124,0.584303,0.714107,0.144262,0.938059
0.677027,0.000000,0.138268,0.070770,0.826902,0.000000,0.309322,0.223060,0.625193,0.008703,0.110644,0.160059,1.000000,0.328886,0.537217,0.212542,1.000000,0.000000,0.310392,0.078237,1.000000,0.138597,0.405978,0.089432,0.871511,0.049056,0.248726,0.982087,0.750604,0.000000,0.177480,0.188813,1.000000,0.097492,0.310392,0.610323,0.873675,0.000000,0.243069,0.428500,1.000000,0.108074,0.384928,0.083513,1.000000,0.153387,0.317222,0.095566,0.961554,0.221633,0.462942,0.438363,1.000000,0.000000,0.310392,0.315415,0.961554,0.000000,0.289902,0.184938,0.656138,0.774799,0.142734,0.936908
1.000000,0.064992,0.351688,0.971222,0.677027,0.000000,0.138268,0.070770,0.826902,0.000000,0.309322,0.223060,0.625193,0.008703,0.110644,0.160059,1.000000,0.328886,0.537217,0.212542,1.000000,0.000000,0.310392,0.078237,1.000000,0.138597,0.405978,0.089432,0.871511,0.049056,0.248726,0.982087,0.750604,0.000000,0.177480,0.188813,1.000000,0.097492,0.310392,0.610323,0.873675,0.000000,0.243069,0.428500,1.000000,0.108074,0.384928,0.083513,1.000000,0.153387,0.317222,0.095566,0.961554,0.221633,0.462942,0.438363,1.000000,0.000000,0.310392,0.315415,0.649139,0.714595,0.011183,0.910311
0.922560,0.003339,0.269121,0.401892,1.000000,0.064992,0.351688,0.971222,0.677027,0.000000,0.138268,0.070770,0.826902,0.000000,0.309322,0.223060,0.625193,0.008703,0.110644,0.160059,1.000000,0.328886,0.537217,0.212542,1.000000,0.000000,0.310392,0.078237,1.000000,0.138597,0.405978,0.089432,0.871511,0.049056,0.248726,0.982087,0.750604,0.000000,0.177480,0.188813,1.000000,0.097492,0.310392,0.610323,0.873675,0.000000,0.243069,0.428500,1.000000,0.108074,0.384928,0.083513,1.000000,0.153387,0.317222,0.095566,0.961554,0.221633,0.462942,0.438363,0.602935,0.729127,0.045340,0.936052
1.000000,0.064992,0.355215,0.304414,0.922560,0.003339,0.269121,0.401892,1.000000,0.064992,0.351688,0.971222,0.677027,0.000000,0.138268,0.070770,0.826902,0.000000,0.309322,0.223060,0.625193,0.008703,0.110644,0.160059,1.000000,0.328886,0.537217,0.212542,1.000000,0.000000,0.310392,0.078237,1.000000,0.138597,0.405978,0.089432,0.871511,0.049056,0.248726,0.982087,0.750604,0.000000,0.177480,0.188813,1.000000,0.097492,0.310392,0.610323,0.873675,0.000000,0.243069,0.428500,1.000000,0.108074,0.384928,0.083513,1.000000,0.153387,0.317222,0.095566,0.613941,0.713355,0.036782,0.910311
1.000000,0.128765,0.310392,0.988584,1.000000,0.064992,0.355215,0.304414,0.922560,0.003339,0.269121,0.401892,1.000000,0.064992,0.351688,0.971222,0.677027,0.000000,0.138268,0.070770,0.826902,0.000000,0.309322,0.223060,0.625193,0.008703,0.110644,0.160059,1.000000,0.328886,0.537217,0.212542,1.000000,0.000000,0.310392,0.078237,1.000000,0.138597,0.405978,0.089432,0.871511,0.049056,0.248726,0.982087,0.750604,0.000000,0.177480,0.188813,1.000000,0.097492,0.310392,0.610323,0.873675,0.000000,0.243069,0.428500,1.000000,0.108074,0.384928,0.083513,0.605469,0.726153,0.036782,0.910311
1.000000,0.079321,0.365098,0.847912,1.000000,0.128765,0.310392,0.988584,1.000000,0.064992,0.355215,0.304414,0.922560,0.003339,0.269121,0.401892,1.000000,0.064992,0.351688,0.971222,0.677027,0.000000,0.138268,0.070770,0.826902,0.000000,0.309322,0.223060,0.625193,0.008703,0.110644,0.160059,1.000000,0.328886,0.537217,0.212542,1.000000,0.000000,0.310392,0.078237,1.000000,0.138597,0.405978,0.089432,0.871511,0.049056,0.248726,0.982087,0.750604,0.000000,0.177480,0.188813,1.000000,0.097492,0.310392,0.610323,0.873675,0.000000,0.243069,0.428500,0.585201,0.699867,0.036782,0.910311
0.960873,0.000000,0.289539,0.045588,1.000000,0.079321,0.365098,0.847912,1.000000,0.128765,0.310392,0.988584,1.000000,0.064992,0.355215,0.304414,0.922560,0.003339,0.269121,0.401892,1.000000,0.064992,0.351688,0.971222,0.677027,0.000000,0.138268,0.070770,0.826902,0.000000,0.309322,0.223060,0.625193,0.008703,0.110644,0.160059,1.000000,0.328886,0.537217,0.212542,1.000000,0.000000,0.310392,0.078237,1.000000,0.138597,0.405978,0.089432,0.871511,0.049056,0.248726,0.982087,0.750604,0.000000,0.177480,0.188813,1.000000,0.097492,0.310392,0.610323,0.534589,0.678067,0.155795,1.000000
